Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
Andrew Tate and brother arrive in US after Romania travel ban lifted,26.0,572,5.09965034965035,22,3667,299,0.5227272727272727,1.631118881118881,0.7604895104895105,3.146853146853147,3.146853146853147,37.06293706293706,1.779874213836478,44.88,13.5,15.3,10.17,16.8,14.92,16.25,17.8
Anger mounts as Greece remembers deadliest train crash two years on,24.06122448979592,1179,4.888040712468193,49,7305,532,0.45122985581000846,1.5055131467345209,0.726039016115352,3.9016115351993217,3.1382527565733676,31.891433418150978,1.7976878612716762,57.5,10.7,13.0,9.04,13.7,12.3,11.833333333333334,18.1
Austria eyes new coalition government that excludes far-right Freedom Party,24.384615384615383,317,5.018927444794953,13,2087,179,0.5646687697160884,1.5047318611987381,0.7066246056782335,3.1545741324921135,5.678233438485805,40.063091482649845,2.049382716049383,54.76,11.8,13.4,9.56,16.6,12.77,15.25,18.66
Bosnia peace envoy says Serb regional leaders seeking to destablise country,29.666666666666668,445,5.444943820224719,15,3010,219,0.49213483146067416,1.746067415730337,0.6629213483146067,1.7977528089887642,3.3707865168539324,35.73033707865169,2.227722772277228,24.31,17.3,17.0,10.17,20.4,16.75,22.666666666666668,17.66
BP drops climate targets in pivot back to oil and gas,23.789473684210527,452,4.845132743362832,19,2862,226,0.5,1.5464601769911503,0.7345132743362832,3.982300884955752,2.433628318584071,33.849557522123895,1.7028985507246377,60.14,9.7,13.3,9.46,12.3,11.56,12.8,18.04
California sues oil giants alleging ‘climate risks deception’ Report,27.736842105263158,527,5.182163187855788,19,3413,287,0.5445920303605313,1.6242884250474383,0.7248576850094877,4.364326375711575,3.6053130929791273,40.41745730550284,1.912751677852349,44.48,13.7,14.9,10.45,17.3,15.45,16.75,18.08
China pledges ‘countermeasures’ after Trump announces new 10% tariff,29.3,293,5.1194539249146755,10,1883,172,0.5870307167235495,1.5802047781569966,0.7542662116040956,4.778156996587031,2.3890784982935154,45.39249146757679,1.6818181818181819,41.13,15.0,14.7,10.51,18.3,16.91,16.5,18.240000000000002
Israel army probe reveals ‘complete failure’ in preventing October 7 attack,24.304347826086957,559,4.992844364937389,23,3530,266,0.47584973166368516,1.5778175313059033,0.7316636851520573,5.366726296958855,4.651162790697675,35.062611806797854,2.286764705882353,47.62,12.5,13.0,9.11,15.0,12.8,11.2,18.18
"Israel releases Palestinian prisoners, sends negotiators to Cairo",25.333333333333332,684,4.921052631578948,27,4228,304,0.4444444444444444,1.523391812865497,0.7236842105263158,2.4853801169590644,3.070175438596491,29.678362573099413,2.028735632183908,54.86,11.7,13.5,8.97,14.9,13.12,13.0,18.220000000000002
More rescuers join search for trapped workers in India’s tunnel collapse,25.363636363636363,279,5.114695340501792,11,1766,165,0.5913978494623656,1.5698924731182795,0.7777777777777778,1.4336917562724014,3.584229390681003,41.57706093189964,1.17,45.39,13.3,12.7,9.88,16.0,13.39,15.25,18.52
Nakba survivors see echoes of the past in Trump’s calls for Gaza expulsion,21.0,1071,4.784313725490196,51,6480,471,0.43977591036414565,1.4761904761904763,0.7254901960784313,8.123249299719888,2.5210084033613445,31.18580765639589,2.0533807829181496,59.43,10.0,12.2,8.63,12.3,11.14,21.0,18.2
"North Korea has sent more troops to Russia, South Korea says",27.5,275,5.189090909090909,10,1786,166,0.6036363636363636,1.6327272727272728,0.7890909090909091,2.909090909090909,5.454545454545454,45.45454545454545,1.4871794871794872,43.36,14.1,16.2,10.77,17.9,15.99,17.0,17.66
North Korea says it launched cruise missiles in message to ‘enemies’,25.272727272727273,278,4.953237410071942,11,1730,157,0.564748201438849,1.6151079136690647,0.737410071942446,5.0359712230215825,6.115107913669065,38.84892086330935,1.5056179775280898,46.0,13.1,15.2,9.86,15.8,15.55,12.2,17.98
Nurse in Australia charged over video about killing Israelis,25.333333333333332,304,5.141447368421052,12,1959,190,0.625,1.5394736842105263,0.805921052631579,1.9736842105263157,1.9736842105263157,45.39473684210527,1.425531914893617,53.75,12.2,13.9,10.62,16.4,14.32,17.5,17.939999999999998
Pope Francis suffers ‘breathing crisis’ amid battle with pneumonia,31.3,313,4.84664536741214,10,1951,174,0.5559105431309904,1.5463258785942493,0.7476038338658147,2.8753993610223643,2.8753993610223643,39.936102236421725,1.8333333333333333,44.78,13.5,15.1,9.49,16.0,14.95,14.2,17.880000000000003
Real Madrid win marred by more racism directed towards Vinicius Junior,23.78125,761,4.670170827858081,32,4561,372,0.4888304862023653,1.4007884362680683,0.6938239159001314,3.8107752956636007,0.39421813403416556,34.42838370565046,1.7523364485981308,66.17,9.5,11.0,8.81,12.7,11.21,12.2,18.78
Talks under way in Egypt over phase two of Israel-Hamas ceasefire in Gaza,33.21052631578947,631,4.716323296354992,19,3803,289,0.45800316957210774,1.4722662440570522,0.7004754358161648,3.4865293185419968,2.694136291600634,31.85419968304279,2.0246913580246915,50.5,13.4,13.4,9.24,16.4,14.93,15.5,18.479999999999997
Thailand deports 48 Uighurs to China despite human rights concerns,22.9,458,5.209606986899563,20,3033,239,0.5218340611353712,1.5873362445414847,0.7620087336244541,1.5283842794759825,4.8034934497816595,38.209606986899566,1.6384615384615384,47.93,12.3,13.3,10.18,16.2,13.69,12.6,18.419999999999998
Tour bus crash in eastern Thailand kills at least 18,25.363636363636363,279,4.924731182795699,11,1735,178,0.6379928315412187,1.5053763440860215,0.7813620071684588,3.225806451612903,2.867383512544803,49.82078853046595,1.4838709677419355,53.34,12.3,13.5,10.31,15.2,14.23,15.5,18.220000000000002
"Trump tariffs of 25% on Canada, Mexico set to kick in March 4",29.157894736842106,554,5.093862815884476,19,3540,276,0.4981949458483754,1.5722021660649819,0.7472924187725631,3.790613718411552,1.9855595667870036,33.39350180505416,1.7073170731707317,42.75,14.3,14.3,9.45,17.4,15.28,17.25,18.32
US-Ukraine critical minerals deal What we know so far,24.439393939393938,1613,4.795412275263484,66,9832,581,0.3601983880967142,1.5065096094234347,0.7470551766893986,4.835709857408556,2.417854928704278,23.744575325480472,2.027027027027027,57.3,10.8,13.3,8.63,13.7,11.91,13.6,18.240000000000002
"Volodymyr Zelenskyy A ‘dictator’, or a ‘Ukrainian Churchill’",22.87962962962963,2471,5.044111695669769,108,16185,1031,0.41723998381222177,1.557264265479563,0.7268312424119789,4.53257790368272,2.347227842978551,30.35208417644678,1.7774480712166172,49.45,11.8,13.5,9.48,15.0,12.24,13.2,18.160000000000004
Why has Mexico handed over drug cartel leaders to US Who are they,24.136363636363637,1062,4.897363465160075,44,6700,415,0.3907721280602637,1.591337099811676,0.724105461393597,5.273069679849341,3.2015065913371,23.634651600753294,1.96028880866426,47.83,12.4,13.8,8.87,14.2,12.43,8.333333333333334,18.2
‘Business is not good’ Vietnam’s floating markets dwindle as economy soars,20.517857142857142,1149,4.552654482158399,56,6883,509,0.44299390774586594,1.390774586597041,0.742384682332463,4.786771105308964,2.175805047867711,29.939077458659703,1.833846153846154,69.41,8.2,10.2,8.69,10.9,9.96,6.25,19.2
‘Propaganda lessons for everyone’ Russia’s wartime curriculum exposed,21.33823529411765,1451,4.882839421088904,68,9139,615,0.4238456237077877,1.5306685044796693,0.7291523087525844,5.031013094417643,2.1364576154376294,30.806340454858717,2.1179624664879357,60.65,9.5,12.6,9.17,12.7,11.64,8.833333333333334,18.240000000000002
